iter	Logloss
0	0.6528183412
1	0.6202179522
2	0.5942491399
3	0.5733392267
4	0.5571413271
5	0.543706121
6	0.5324873995
7	0.5241630336
8	0.5161768432
9	0.5099899445
10	0.5044171584
11	0.4994351233
12	0.495555888
13	0.4920678802
14	0.4887387285
15	0.4862112721
16	0.4835431473
17	0.4814728032
18	0.4797009443
19	0.4778879839
20	0.4762475868
21	0.4751174278
22	0.4739917056
23	0.4725300167
24	0.471511238
25	0.4706701766
26	0.4696151473
27	0.4686425889
28	0.4677560005
29	0.4669615679
30	0.4661593752
31	0.4655542833
32	0.4649141099
33	0.4642703272
34	0.4635045045
35	0.4629914153
36	0.4624166811
37	0.4618457836
38	0.4614053201
39	0.4606275499
40	0.4602660559
41	0.4597057704
42	0.459140656
43	0.4588028517
44	0.4583525397
45	0.4578760342
46	0.4575291516
47	0.457123104
48	0.4567463763
49	0.456448601
50	0.4560887539
51	0.4557428578
52	0.4553691034
53	0.4551112314
54	0.4547956027
55	0.4544926627
56	0.4541572294
57	0.4537900959
58	0.4535736887
59	0.4533281318
60	0.4530908914
61	0.452808538
62	0.4526083272
63	0.4524128825
64	0.4521144334
65	0.4518117442
66	0.4516005254
67	0.4513760772
68	0.4511102293
69	0.4508588183
70	0.45069303
71	0.4505506667
72	0.4503320392
73	0.4501196735
74	0.449956242
75	0.4497354424
76	0.4495862882
77	0.4494527482
78	0.4491936594
79	0.4490058931
80	0.4488620683
81	0.4486685327
82	0.448502844
83	0.4483001963
84	0.4481404984
85	0.4479813974
86	0.4478461293
87	0.4476682762
88	0.4475364855
89	0.4473624163
90	0.4472805472
91	0.4471635282
92	0.4470317853
93	0.4469307459
94	0.4467780234
95	0.4466631315
96	0.4465402487
97	0.4463844803
98	0.4462288826
99	0.4461209943
100	0.4459662223
101	0.4458489861
102	0.4457221724
103	0.4456037955
104	0.4454820214
105	0.4453793575
106	0.4452934548
107	0.4451631154
108	0.4449882578
109	0.4448532971
110	0.4447460079
111	0.4446125134
112	0.4444854243
113	0.4443770524
114	0.4443049279
115	0.4442050909
116	0.4440914858
117	0.4439756994
118	0.4438848708
119	0.4437971829
120	0.4437387539
121	0.4436413985
122	0.4435398926
123	0.4434513573
124	0.4433247098
125	0.4432225932
126	0.4431480316
127	0.4430362475
128	0.4429538308
129	0.442863597
130	0.4427627641
131	0.4426767103
132	0.4425950308
133	0.4424382893
134	0.4423677226
135	0.4422922981
136	0.4421680755
137	0.4420692052
138	0.4419623988
139	0.441832363
140	0.4417486113
141	0.4416811376
142	0.4415936519
143	0.4415059992
144	0.4413932845
145	0.4412980414
146	0.4411984437
147	0.4411249744
148	0.4410577041
149	0.4409507772
150	0.4408613591
151	0.4407437177
152	0.4406754748
153	0.440631157
154	0.4405336137
155	0.440418024
156	0.4402861863
157	0.4401763141
158	0.4401067082
159	0.4399889454
160	0.4398958713
161	0.439844174
162	0.4397615243
163	0.4396601573
164	0.4395799336
165	0.4394662153
166	0.4393836889
167	0.4392713364
168	0.439209251
169	0.4391463767
170	0.4390327475
171	0.4389541578
172	0.4388792526
173	0.438795853
174	0.4386973871
175	0.4386418626
176	0.4385571766
177	0.4384753061
178	0.4383972558
179	0.4382435922
180	0.4381508787
181	0.4380425019
182	0.4379708143
183	0.4378847729
184	0.4377998596
185	0.4376994974
186	0.4376267285
187	0.4375798965
188	0.4375050905
189	0.4374369151
190	0.4373326088
191	0.437261711
192	0.4371834531
193	0.4371418558
194	0.4370893188
195	0.4370161314
196	0.4369484683
197	0.4368717789
198	0.4367837855
199	0.4367082223
200	0.4366128221
201	0.4365140042
202	0.4364366218
203	0.4363599787
204	0.4362920167
205	0.4362260725
206	0.4361739961
207	0.4360890397
208	0.435983894
209	0.4359057543
210	0.4358251695
211	0.4357542326
212	0.4356911782
213	0.4356270929
214	0.4355684058
215	0.4354782001
216	0.4353998038
217	0.435333592
218	0.4352712095
219	0.4352039329
220	0.4351297995
221	0.4350741258
222	0.4350267564
223	0.4349724312
224	0.4348932086
225	0.434812095
226	0.4347357545
227	0.4346743785
228	0.4346207372
229	0.4345421123
230	0.4344801428
231	0.434381764
232	0.4343181382
233	0.4342473892
234	0.4341823931
235	0.4341087736
236	0.4340249248
237	0.434001954
238	0.433919373
239	0.433861724
240	0.4338180579
241	0.4337500827
242	0.4336439767
243	0.4335759262
244	0.4335048063
245	0.4334297227
246	0.4333550373
247	0.4332835165
248	0.4332337789
249	0.4331954498
250	0.4331156886
251	0.4330538242
252	0.4329799671
253	0.4329219677
254	0.4328447951
255	0.4327590555
256	0.4326821217
257	0.4326071324
258	0.4325373896
259	0.4324828396
260	0.4323965085
261	0.4323167275
262	0.4322524005
263	0.4321970589
264	0.4321224139
265	0.4320576945
266	0.4319979673
267	0.4319512846
268	0.4319481611
269	0.4318869898
270	0.43182694
271	0.4317551133
272	0.4316846776
273	0.4316068625
274	0.4315371087
275	0.4314821117
276	0.4314117298
277	0.4313544526
278	0.4312870422
279	0.4312331696
280	0.4311957546
281	0.4311190847
282	0.4310758304
283	0.4310058693
284	0.4309561949
285	0.430899049
286	0.4308232491
287	0.4307790326
288	0.4307236274
289	0.4306258281
290	0.4305821947
291	0.4305414874
292	0.4304955146
293	0.4304339819
294	0.4303832766
295	0.4303029406
296	0.4302578782
297	0.4301979012
298	0.4301452663
299	0.4300798042
300	0.430004908
301	0.4299510729
302	0.4298813178
303	0.4298233228
304	0.4297618195
305	0.4296985943
306	0.429643065
307	0.4295823455
308	0.4295300315
309	0.4294721407
310	0.4293965572
311	0.4293256243
312	0.4292778803
313	0.4292145445
314	0.4291513637
315	0.4290911658
316	0.4290311852
317	0.4289672446
318	0.4289139914
319	0.4288549308
320	0.4287952414
321	0.4287462999
322	0.4286867043
323	0.4286415171
324	0.4285944794
325	0.4285466518
326	0.4285191909
327	0.4284767389
328	0.4284132126
329	0.4283674734
330	0.4283056393
331	0.4282595868
332	0.4282201489
333	0.428138869
334	0.4280641847
335	0.4280248159
336	0.427969179
337	0.4279129695
338	0.4278674309
339	0.4278264603
340	0.4277787366
341	0.427706539
342	0.4276625056
343	0.4276006682
344	0.4275486893
345	0.4274838507
346	0.4274066258
347	0.427345545
348	0.4272966545
349	0.4272410457
350	0.4271962053
351	0.4271505138
352	0.4271103462
353	0.4270490552
354	0.4270029324
355	0.4269428693
356	0.4268795289
357	0.4268307613
358	0.426768361
359	0.4267174541
360	0.4266668984
361	0.4266115318
362	0.4265447417
363	0.4264951671
364	0.426440925
365	0.4264380044
366	0.4263859564
367	0.4263238503
368	0.4262583949
369	0.4261902984
370	0.4261294609
371	0.4260757079
372	0.4259894995
373	0.4259268782
374	0.4258519534
375	0.425795054
376	0.4257420188
377	0.4256987633
378	0.4256538531
379	0.4256167877
380	0.42557101
381	0.4255152122
382	0.4254413731
383	0.4253910867
384	0.4253232999
385	0.4252606015
386	0.4251963042
387	0.425147305
388	0.4250946555
389	0.4250590201
390	0.4250208489
391	0.4249698506
392	0.4249352073
393	0.4248814942
394	0.4248278256
395	0.4247785909
396	0.4247242517
397	0.4246627019
398	0.4245945365
399	0.4245464656
400	0.42450217
401	0.4244695631
402	0.4244283381
403	0.4243731108
404	0.4243198277
405	0.4242749423
406	0.4242238303
407	0.4241972445
408	0.4241638785
409	0.4241090819
410	0.4240742102
411	0.4240169576
412	0.423971678
413	0.4239005298
414	0.4238295414
415	0.4237856443
416	0.423722365
417	0.4236658687
418	0.4236269883
419	0.4235607987
420	0.4234944261
421	0.423438294
422	0.4234054838
423	0.4233694154
424	0.4233159346
425	0.4232556181
426	0.4232120303
427	0.4231518597
428	0.4231143436
429	0.4230611155
430	0.4230026889
431	0.4229237959
432	0.4228700509
433	0.4227980413
434	0.4227472888
435	0.4226990399
436	0.4226450864
437	0.4225881548
438	0.4225417669
439	0.4224774666
440	0.422451501
441	0.4223899501
442	0.4223375782
443	0.4222724441
444	0.4222455469
445	0.422184402
446	0.4221127477
447	0.4220431385
448	0.4220055042
449	0.4219425892
450	0.4219009351
451	0.4218519281
452	0.4218067645
453	0.4217452215
454	0.4216886095
455	0.4216140247
456	0.4215534352
457	0.4214965038
458	0.4214474645
459	0.4213880596
460	0.4213434963
461	0.4213069077
462	0.4212596526
463	0.4212066658
464	0.4211642097
465	0.4211397701
466	0.4211000685
467	0.4210423277
468	0.4210009129
469	0.4209572302
470	0.4209031858
471	0.4208621935
472	0.4208117444
473	0.4207744898
474	0.4207478287
475	0.4207038274
476	0.4206674005
477	0.4206077021
478	0.4205804587
479	0.4205480308
480	0.4205011456
481	0.4204577564
482	0.4204244502
483	0.4203573541
484	0.4203120653
485	0.4202352891
486	0.4202032555
487	0.4201630082
488	0.4201364352
489	0.4200905443
490	0.4200450866
491	0.4200018778
492	0.4199623186
493	0.4199145446
494	0.4198487687
495	0.4198087835
496	0.419779623
497	0.4197177873
498	0.4196753686
499	0.4196367568
500	0.4195966655
501	0.4195491327
502	0.4194953222
503	0.419446421
504	0.4193929322
505	0.4193517333
506	0.4192898487
507	0.4192846319
508	0.4192419741
509	0.419216414
510	0.4191684187
511	0.4191023065
512	0.4190539225
513	0.4189952888
514	0.4189699135
515	0.4189254604
516	0.4188588269
517	0.4188180898
518	0.418771367
519	0.4187096772
520	0.4186716242
521	0.4186165643
522	0.4185522013
523	0.4185053322
524	0.4184572286
525	0.4184022349
526	0.4183536063
527	0.4182904746
528	0.4182369311
529	0.4181992141
530	0.4181642724
531	0.418105769
532	0.4180669781
533	0.4180018815
534	0.4179645322
535	0.4179312158
536	0.4178804971
537	0.4178593299
538	0.417814724
539	0.4177584652
540	0.4177171626
541	0.4177019824
542	0.4176504734
543	0.4176034707
544	0.4175439437
545	0.4174875175
546	0.4174489651
547	0.4174010292
548	0.4173507029
549	0.4173157946
550	0.417247268
551	0.4171912288
552	0.4171337473
553	0.4170990205
554	0.4170563431
555	0.4170017592
556	0.4169582961
557	0.4169136361
558	0.4168638141
559	0.4168197489
560	0.4167826006
561	0.4167242055
562	0.4166718539
563	0.4166415837
564	0.4166048532
565	0.4165700164
566	0.4165379712
567	0.4165344448
568	0.4164959055
569	0.4164530124
570	0.4164161733
571	0.4163855451
572	0.416338407
573	0.4162820293
574	0.4162419648
575	0.4162228105
576	0.4161742714
577	0.4161095845
578	0.416065756
579	0.4160315846
580	0.4160085153
581	0.415955659
582	0.4159152939
583	0.4158770464
584	0.4158359065
585	0.4157812971
586	0.4157373571
587	0.4157016294
588	0.4156565835
589	0.415610726
590	0.4155609512
591	0.4155242368
592	0.4154836414
593	0.4154508665
594	0.4154036924
595	0.4153620338
596	0.4153189084
597	0.4152642646
