iter	Passed	Remaining
402	12682	18787
403	12712	18754
404	12743	18722
405	12773	18688
406	12800	18650
407	12827	18612
408	12854	18574
409	12883	18540
410	12915	18509
411	12945	18476
412	12976	18444
413	13005	18408
414	13035	18376
415	13064	18341
416	13092	18304
417	13120	18267
418	13151	18236
419	13179	18200
420	13208	18165
421	13238	18132
422	13268	18098
423	13297	18064
424	13326	18029
425	13359	18001
426	13390	17968
427	13420	17935
428	13446	17897
429	13475	17862
430	13503	17827
431	13530	17789
432	13559	17755
433	13587	17720
434	13616	17685
435	13643	17648
436	13673	17615
437	13702	17581
438	13732	17548
439	13762	17515
440	13790	17480
441	13826	17455
442	13859	17425
443	13892	17397
444	13924	17366
445	13955	17334
446	13985	17302
447	14018	17272
448	14051	17243
449	14087	17218
450	14119	17187
451	14153	17159
452	14186	17129
453	14222	17104
454	14258	17079
455	14292	17050
456	14325	17021
457	14360	16994
458	14392	16964
459	14422	16930
460	14454	16900
461	14488	16872
462	14521	16842
463	14554	16813
464	14585	16780
465	14616	16749
466	14645	16715
467	14678	16686
468	14711	16656
469	14743	16625
470	14779	16599
471	14811	16568
472	14848	16543
473	14884	16517
474	14914	16484
475	14942	16448
476	14972	16416
477	15000	16380
478	15027	16345
479	15057	16311
480	15086	16278
481	15114	16242
482	15143	16209
483	15175	16178
484	15205	16145
485	15228	16105
486	15259	16073
487	15288	16039
488	15313	16002
489	15343	15969
490	15372	15936
491	15400	15901
492	15428	15866
493	15457	15832
494	15484	15797
495	15511	15761
496	15538	15726
497	15571	15696
498	15599	15662
499	15628	15628
500	15657	15594
501	15685	15560
502	15713	15525
503	15749	15499
504	15778	15466
505	15806	15431
506	15835	15398
507	15862	15362
508	15891	15329
509	15917	15293
510	15945	15259
511	15975	15226
512	16003	15192
513	16031	15157
514	16060	15124
515	16091	15093
516	16120	15060
517	16151	15028
518	16184	14999
519	16224	14976
520	16264	14953
521	16300	14926
522	16333	14896
523	16364	14865
524	16397	14835
525	16429	14804
526	16464	14777
527	16498	14749
528	16535	14722
529	16567	14691
530	16601	14663
531	16646	14643
532	16682	14617
533	16716	14587
534	16749	14557
535	16783	14528
536	16809	14493
537	16837	14458
538	16866	14426
539	16897	14394
540	16926	14360
541	16954	14327
542	16985	14295
543	17015	14262
544	17044	14229
545	17073	14196
546	17104	14165
547	17135	14133
548	17167	14103
549	17199	14072
550	17230	14040
551	17258	14007
552	17289	13975
553	17317	13941
554	17347	13909
555	17375	13875
556	17402	13840
557	17430	13806
558	17460	13774
559	17488	13741
560	17517	13707
561	17547	13676
562	17576	13642
563	17604	13609
564	17632	13575
565	17659	13541
566	17688	13508
567	17714	13472
568	17742	13439
569	17771	13406
570	17799	13373
571	17827	13339
572	17856	13306
573	17885	13273
574	17913	13240
575	17942	13207
576	17970	13174
577	17998	13140
578	18027	13108
579	18058	13076
580	18085	13042
581	18116	13011
582	18144	12978
583	18175	12946
584	18205	12914
585	18237	12884
586	18266	12852
587	18294	12818
588	18323	12786
589	18351	12752
590	18378	12718
591	18406	12685
592	18437	12654
593	18464	12620
594	18492	12587
595	18524	12557
596	18554	12525
597	18582	12492
598	18612	12459
599	18639	12426
600	18668	12393
601	18694	12359
602	18724	12327
603	18754	12295
604	18783	12263
605	18809	12229
606	18842	12199
607	18871	12166
608	18900	12134
609	18930	12102
610	18960	12071
611	18988	12038
612	19020	12007
613	19050	11976
614	19077	11942
615	19105	11909
616	19133	11877
617	19164	11845
618	19191	11812
619	19222	11781
620	19247	11746
621	19277	11715
622	19304	11681
623	19333	11649
624	19363	11617
625	19391	11585
626	19417	11551
627	19446	11519
628	19474	11486
629	19503	11454
630	19532	11422
631	19561	11390
632	19591	11358
633	19620	11326
634	19649	11294
635	19679	11263
636	19710	11232
637	19741	11201
638	19768	11167
639	19798	11136
640	19828	11105
641	19857	11073
642	19885	11040
643	19915	11009
644	19943	10976
645	19972	10944
646	20000	10912
647	20028	10879
648	20058	10848
649	20090	10817
650	20116	10784
651	20145	10752
652	20172	10719
653	20201	10687
654	20228	10654
655	20257	10622
656	20286	10590
657	20314	10558
658	20343	10526
659	20371	10494
660	20400	10462
661	20428	10430
662	20456	10397
663	20485	10366
664	20515	10334
665	20544	10303
666	20573	10271
667	20605	10240
668	20635	10210
669	20674	10182
670	20716	10157
671	20754	10130
672	20789	10101
673	20824	10072
674	20856	10042
675	20888	10011
676	20917	9979
677	20950	9949
678	20981	9919
679	21011	9887
680	21041	9856
681	21075	9826
682	21115	9800
683	21150	9771
684	21200	9749
685	21239	9722
686	21277	9694
687	21317	9667
688	21351	9637
689	21387	9608
690	21425	9581
691	21462	9552
692	21496	9522
693	21529	9492
694	21559	9461
695	21594	9432
696	21627	9401
697	21665	9373
698	21698	9343
699	21734	9314
700	21768	9285
701	21799	9253
702	21832	9223
703	21863	9192
704	21895	9162
705	21930	9132
706	21965	9103
707	22000	9073
708	22033	9043
709	22065	9012
710	22099	8982
711	22136	8953
712	22170	8924
713	22202	8893
714	22236	8863
715	22270	8833
716	22303	8803
717	22337	8773
718	22376	8745
719	22408	8714
720	22443	8684
721	22477	8654
722	22514	8626
723	22551	8597
724	22585	8566
725	22618	8536
726	22648	8504
727	22688	8477
728	22721	8446
729	22751	8414
730	22784	8384
731	22814	8352
732	22846	8321
733	22876	8290
734	22906	8258
735	22936	8227
736	22966	8195
737	22998	8164
738	23029	8133
739	23059	8101
740	23096	8072
741	23137	8045
742	23174	8015
743	23209	7985
744	23250	7958
745	23286	7928
746	23321	7898
747	23361	7870
748	23391	7838
749	23419	7806
750	23448	7774
751	23478	7742
752	23507	7711
753	23536	7679
754	23569	7648
755	23601	7617
756	23634	7586
757	23668	7556
758	23703	7526
759	23737	7495
760	23770	7465
761	23803	7434
762	23835	7403
763	23867	7372
764	23900	7341
765	23932	7310
766	23965	7280
767	23999	7249
768	24031	7218
769	24065	7188
770	24100	7158
771	24133	7127
772	24166	7096
773	24198	7065
774	24232	7035
775	24263	7003
776	24293	6972
777	24324	6940
778	24351	6908
779	24380	6876
780	24410	6845
781	24440	6813
782	24470	6781
783	24502	6750
784	24535	6719
785	24567	6688
786	24607	6659
787	24640	6629
788	24673	6598
789	24707	6567
790	24745	6538
791	24785	6509
792	24817	6478
793	24851	6447
794	24884	6416
795	24912	6384
796	24940	6352
797	24972	6321
798	25057	6303
799	25135	6283
800	25170	6253
801	25201	6221
802	25233	6190
803	25266	6159
804	25305	6129
805	25344	6100
806	25379	6069
807	25413	6038
808	25446	6007
809	25479	5976
810	25513	5945
811	25545	5914
812	25575	5882
813	25602	5850
814	25631	5818
815	25658	5785
816	25687	5753
817	25717	5721
818	25747	5690
819	25779	5658
820	25816	5628
821	25854	5598
822	25890	5568
823	25919	5536
824	25951	5504
825	25983	5473
826	26013	5441
827	26040	5409
828	26068	5377
829	26095	5344
830	26123	5312
831	26151	5280
832	26179	5248
833	26208	5216
834	26238	5184
835	26268	5153
836	26295	5120
837	26325	5089
838	26357	5057
839	26383	5025
840	26413	4993
841	26444	4962
842	26474	4930
843	26504	4898
844	26533	4867
845	26564	4835
846	26594	4804
847	26624	4772
848	26652	4740
849	26679	4708
850	26708	4676
851	26738	4644
852	26770	4613
853	26802	4582
854	26831	4550
855	26860	4518
856	26890	4487
857	26921	4455
858	26950	4423
859	26979	4391
860	27007	4360
861	27039	4328
862	27070	4297
863	27102	4266
864	27132	4234
865	27164	4203
866	27191	4171
867	27220	4139
868	27246	4107
869	27275	4075
870	27306	4044
871	27334	4012
872	27360	3980
873	27388	3948
874	27415	3916
875	27442	3884
876	27469	3852
877	27496	3820
878	27523	3788
879	27550	3756
880	27580	3725
881	27608	3693
882	27635	3661
883	27661	3629
884	27689	3598
885	27719	3566
886	27748	3535
887	27775	3503
888	27807	3471
889	27835	3440
890	27862	3408
891	27893	3377
892	27922	3345
893	27952	3314
894	27981	3282
895	28011	3251
896	28041	3219
897	28073	3188
898	28104	3157
899	28132	3125
900	28161	3094
901	28192	3063
902	28219	3031
903	28245	2999
904	28268	2967
905	28297	2935
906	28328	2904
907	28359	2873
908	28390	2842
909	28418	2810
910	28444	2778
911	28473	2747
912	28500	2715
913	28527	2684
914	28557	2652
915	28584	2621
916	28609	2589
917	28640	2558
918	28668	2526
919	28697	2495
920	28726	2464
921	28752	2432
922	28781	2401
923	28809	2369
924	28836	2338
925	28864	2306
926	28890	2275
927	28922	2243
928	28952	2212
929	28982	2181
930	29012	2150
931	29039	2118
932	29066	2087
933	29094	2055
934	29122	2024
935	29148	1993
936	29177	1961
937	29203	1930
938	29230	1898
939	29257	1867
940	29286	1836
941	29315	1804
942	29342	1773
943	29368	1742
944	29395	1710
945	29423	1679
946	29451	1648
947	29480	1617
948	29509	1585
949	29537	1554
950	29566	1523
951	29594	1492
952	29622	1460
953	29649	1429
954	29675	1398
955	29702	1367
956	29731	1335
957	29760	1304
958	29788	1273
959	29816	1242
960	29848	1211
961	29889	1180
962	29926	1149
963	29965	1119
964	30001	1088
965	30040	1057
966	30083	1026
967	30121	995
968	30161	964
969	30207	934
970	30245	903
971	30284	872
972	30321	841
973	30356	810
974	30390	779
975	30421	748
976	30447	716
977	30474	685
978	30500	654
979	30526	622
980	30554	591
981	30582	560
982	30608	529
983	30636	498
984	30672	467
985	30708	436
986	30748	404
987	30786	373
988	30827	342
989	30862	311
990	30899	280
991	30933	249
992	30961	218
993	30989	187
994	31015	155
995	31045	124
996	31073	93
997	31100	62
998	31128	31
999	31154	0
