iter	Logloss
0	0.6508373856
1	0.6210659332
2	0.5940368192
3	0.5747167081
4	0.5575453613
5	0.5435040658
6	0.5328120284
7	0.5241723151
8	0.5167763276
9	0.5101476655
10	0.5044709281
11	0.500006001
12	0.4955374847
13	0.4920793449
14	0.4890347946
15	0.4863385696
16	0.4839608226
17	0.4821482421
18	0.4802590258
19	0.4785331438
20	0.476925805
21	0.4755336134
22	0.4742926174
23	0.4731106086
24	0.4720303932
25	0.470984153
26	0.4697708881
27	0.468887517
28	0.4679478722
29	0.4673251072
30	0.4666214311
31	0.4660795395
32	0.4651936101
33	0.4644338965
34	0.463669326
35	0.4629759748
36	0.4624430464
37	0.462018756
38	0.4614753612
39	0.4610429238
40	0.4605617355
41	0.4601417088
42	0.4597847595
43	0.459293077
44	0.4588141798
45	0.4585521315
46	0.4581396348
47	0.4576991563
48	0.4573084151
49	0.4568187843
50	0.4564776183
51	0.4559828833
52	0.4555398121
53	0.4551233927
54	0.4548737728
55	0.4545122561
56	0.4542051224
57	0.4539138205
58	0.4537118039
59	0.4533908022
60	0.4531626967
61	0.4528732813
62	0.4525773692
63	0.4523140449
64	0.4520927358
65	0.4518577199
66	0.4516214554
67	0.4514042852
68	0.4512354093
69	0.4510068434
70	0.4507363062
71	0.45054595
72	0.4503799157
73	0.450227766
74	0.4501116863
75	0.4499364421
76	0.4497393358
77	0.4495878186
78	0.4493614175
79	0.4492076865
80	0.4490685783
81	0.4489102921
82	0.4487575154
83	0.4485763018
84	0.4484149464
85	0.4481870248
86	0.4480846893
87	0.4479682618
88	0.4478763375
89	0.4476530193
90	0.4474395956
91	0.4472444242
92	0.4470577043
93	0.4469497446
94	0.4467873467
95	0.4466565494
96	0.4465278062
97	0.4463389006
98	0.4462432
99	0.4461241856
100	0.4459753066
101	0.4458815148
102	0.445788566
103	0.4456832718
104	0.4455938943
105	0.4454748713
106	0.4454035703
107	0.4452823143
108	0.4451926633
109	0.4450764844
110	0.4449610465
111	0.4448155437
112	0.4446718294
113	0.4445526806
114	0.4444515412
115	0.4443918179
116	0.4443278288
117	0.4442204889
118	0.444102944
119	0.443997056
120	0.4438953678
121	0.4437756968
122	0.4437164818
123	0.4435744989
124	0.4434562109
125	0.4433351229
126	0.4432674407
127	0.443159571
128	0.4430752232
129	0.4429901045
130	0.4429148954
131	0.4428007757
132	0.4427012514
133	0.442573938
134	0.4424549394
135	0.4423591665
136	0.4422625688
137	0.4421422152
138	0.442058718
139	0.441978518
140	0.4418852304
141	0.4418129458
142	0.4417461785
143	0.4416172917
144	0.4415340396
145	0.4414548068
146	0.4413794669
147	0.4412749274
148	0.4411823164
149	0.4410486619
150	0.4409632714
151	0.4408422132
152	0.4407488638
153	0.4406413009
154	0.4405748798
155	0.4404801462
156	0.4404035694
157	0.4403267307
158	0.4402389849
159	0.4401369066
160	0.4400476893
161	0.4399692867
162	0.4398833185
163	0.4397883401
164	0.4397055622
165	0.4395836029
166	0.4394993813
167	0.4393950667
168	0.439300409
169	0.4392192722
170	0.439127762
171	0.4390219123
172	0.4389198324
173	0.4388380889
174	0.4387482723
175	0.4386529824
176	0.4385513864
177	0.4385141037
178	0.4384252454
179	0.4383251614
180	0.4382343812
181	0.4381602757
182	0.4381098533
183	0.4380208111
184	0.4379597505
185	0.4378760394
186	0.4377967559
187	0.4377278588
188	0.4376608089
189	0.4375942594
190	0.437521531
191	0.4374368313
192	0.4373423505
193	0.43728416
194	0.4372003906
195	0.4370867515
196	0.43695996
197	0.4368784052
198	0.4367932778
199	0.4366996209
200	0.4366217369
201	0.4365487161
202	0.43649156
203	0.4364084925
204	0.4363280018
205	0.4362387317
206	0.4361503846
207	0.4361375207
208	0.4360797523
209	0.4360104845
210	0.4359487556
211	0.4358885455
212	0.4358561695
213	0.4357872252
214	0.4357191011
215	0.4356302197
216	0.4355503983
217	0.4354665516
218	0.435427361
219	0.4353526086
220	0.435288678
221	0.435206293
222	0.4351231932
223	0.4350645048
224	0.4349838972
225	0.4348968946
226	0.4348198434
227	0.4347589627
228	0.4346836951
229	0.4346313579
230	0.4345730824
231	0.4344946147
232	0.434440082
233	0.4343900309
234	0.4343242108
235	0.4342603015
236	0.4342027904
237	0.4341297697
238	0.4340650441
239	0.4340204079
240	0.4339501831
241	0.4338767089
242	0.4338079063
243	0.4337424629
244	0.4336811244
245	0.4336010425
246	0.4335458815
247	0.4334776959
248	0.4334556208
249	0.4333914956
250	0.4333216561
251	0.4332712622
252	0.4331950948
253	0.4331374707
254	0.4330950208
255	0.4330367085
256	0.432979699
257	0.4328988327
258	0.4328214852
259	0.4327586011
260	0.4327011687
261	0.432636081
262	0.432565456
263	0.4324950585
264	0.4324399955
265	0.4323660817
266	0.4323010838
267	0.4322514128
268	0.4322027615
269	0.432162844
270	0.4320922402
271	0.4320454803
272	0.4319781271
273	0.4319042972
274	0.4318444031
275	0.4317909548
276	0.4317381396
277	0.4316818741
278	0.4316145686
279	0.431551508
280	0.4314832431
281	0.4314429425
282	0.4314010619
283	0.4313348086
284	0.4312700274
285	0.4312145989
286	0.4311609479
287	0.4311093138
288	0.4310569392
289	0.4310246188
290	0.4309730742
291	0.4309038118
292	0.4308447747
293	0.4307821057
294	0.4307363394
295	0.4306735739
296	0.4306205235
297	0.4305723064
298	0.4305198112
299	0.4304584783
300	0.4303942437
301	0.4303476521
302	0.4303016741
303	0.4302728783
304	0.4302232329
305	0.430164758
306	0.4301366328
307	0.430047375
308	0.4300059938
309	0.4299368453
310	0.4298990004
311	0.429830175
312	0.4297528625
313	0.4297125314
314	0.4296607451
315	0.429613901
316	0.4295312478
317	0.4294653736
318	0.4294067012
319	0.4293464468
320	0.4293013164
321	0.429252467
322	0.4292198246
323	0.4291652529
324	0.4291171742
325	0.429041717
326	0.4289598441
327	0.428908214
328	0.4288472795
329	0.4287963404
330	0.428753138
331	0.4287140713
332	0.4286619407
333	0.4285890183
334	0.4285242013
335	0.4284629017
336	0.4283966437
337	0.4283214373
338	0.4282667931
339	0.4282110815
340	0.4282069768
341	0.4281617094
342	0.4281151815
343	0.4280540958
344	0.4280144309
345	0.4279638552
346	0.427914341
347	0.4278474693
348	0.4277785123
349	0.4277330835
350	0.4276891065
351	0.4276300446
352	0.4275638242
353	0.4275187332
354	0.4274711734
355	0.4274257686
356	0.4273763527
357	0.4273076251
358	0.4272427538
359	0.4271970823
360	0.4271269899
361	0.4270682105
362	0.4270163275
363	0.4269608666
364	0.426912458
365	0.4268460224
366	0.4268040099
367	0.4267387831
368	0.4266830698
369	0.4266213914
370	0.4265585727
371	0.4265068039
372	0.4264655763
373	0.4264056217
374	0.4263440779
375	0.4262919217
376	0.42624417
377	0.4262053968
378	0.4261545114
379	0.4261154606
380	0.426063326
381	0.4260093182
382	0.4259354901
383	0.4258924963
384	0.4258522954
385	0.4258000954
386	0.4257361645
387	0.425676799
388	0.4256343955
389	0.4255775331
390	0.4255387432
391	0.4254800142
392	0.4254181815
393	0.42538243
394	0.4253466459
395	0.4252859299
396	0.4252272756
397	0.4251667822
398	0.4251056954
399	0.4250538962
400	0.4250207725
401	0.4249746835
402	0.4249424408
403	0.4248979887
404	0.424834216
405	0.4247852941
406	0.4247386248
407	0.4246862947
408	0.424642224
409	0.424609211
410	0.4245794285
411	0.4245153705
412	0.424455909
413	0.4243629456
414	0.4243146875
415	0.4242643007
416	0.4242095703
417	0.4241636903
418	0.4241186052
419	0.4240800959
420	0.4240076558
